,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,"81,340",+55,"3,292",+5,"74,588","3,460","1,034",57,2
1,USA,"94,425","+8,990","1,429",+134,"2,447","90,549","2,463",285,4
2,Italy,"86,498","+5,909","9,134",+919,"10,950","66,414","3,732","1,431",151
3,Spain,"64,059","+6,273","4,934",+569,"9,357","49,768","4,165","1,370",106
4,Germany,"49,344","+5,406",304,+37,"5,673","43,367",23,589,4
5,Iran,"32,332","+2,926","2,378",+144,"11,133","18,821","2,893",385,28
6,France,"29,155",,"1,696",,"4,948","22,511","3,375",447,26
7,UK,"14,543","+2,885",759,+181,135,"13,649",163,214,11
8,Switzerland,"12,928","+1,117",231,+39,"1,530","11,167",203,"1,494",27
9,S. Korea,"9,332",+91,139,+8,"4,528","4,665",59,182,3
10,Netherlands,"8,603","+1,172",546,+112,3,"8,054",761,502,32
11,Austria,"7,610",+701,58,+9,225,"7,327",128,845,6
12,Belgium,"7,284","+1,049",289,+69,858,"6,137",690,628,25
13,Turkey,"5,698","+2,069",92,+17,42,"5,564",241,68,1
14,Canada,"4,610",+567,39,,228,"4,343",120,122,1
15,Portugal,"4,268",+724,76,+16,43,"4,149",71,419,7
16,Norway,"3,696",+324,19,+5,6,"3,671",70,682,4
17,Australia,"3,180",+130,13,,170,"2,997",23,125,0.5
18,Sweden,"3,046",+206,92,+15,16,"2,938",214,302,9
19,Israel,"3,035",+342,12,+4,79,"2,944",49,351,1
20,Brazil,"3,027",+42,77,,6,"2,944",296,14,0.4
21,Czechia,"2,279",+354,9,,11,"2,259",34,213,0.8
22,Malaysia,"2,161",+130,26,+3,259,"1,876",54,67,0.8
23,Denmark,"2,046",+169,52,+11,1,"1,993",109,353,9
24,Ireland,"1,819",,19,,5,"1,795",47,368,4
25,Chile,"1,610",+304,5,+1,43,"1,562",7,84,0.3
26,Luxembourg,"1,605",+152,15,+6,40,"1,550",25,"2,564",24
27,Ecuador,"1,595",+192,36,+2,3,"1,556",58,90,2
28,Japan,"1,387",,47,,359,981,57,11,0.4
29,Poland,"1,340",+119,16,,7,"1,317",3,35,0.4
30,Pakistan,"1,331",+130,9,,23,"1,299",7,6,0.04
31,Romania,"1,292",+263,25,+2,115,"1,152",32,67,1
32,South Africa,"1,170",+243,2,+2,12,"1,156",7,20,0.03
33,Thailand,"1,136",+91,5,+1,97,"1,034",11,16,0.07
34,Saudi Arabia,"1,104",+92,3,,35,"1,066",6,32,0.09
35,Indonesia,"1,046",+153,87,+9,46,913,,4,0.3
36,Finland,"1,041",+83,7,+2,10,"1,024",32,188,1
37,Russia,"1,036",+196,3,,45,988,8,7,0.02
38,Greece,966,+74,28,+1,52,886,66,93,3
39,Iceland,890,+88,2,,97,791,18,"2,608",6
40,India,887,+160,20,,73,794,,0.6,0.01
41,Philippines,803,+96,54,+9,31,718,1,7,0.5
42,Singapore,732,+49,2,,183,547,17,125,0.3
43,Diamond Princess,712,,10,,597,105,15,,
44,Panama,674,,9,,2,663,20,156,2
45,Slovenia,632,+70,9,+3,10,613,14,304,4
46,Argentina,589,,13,+1,72,504,,13,0.3
47,Croatia,586,+91,3,,37,546,14,143,0.7
48,Mexico,585,+110,8,+2,4,573,1,5,0.06
49,Dominican Republic,581,+93,20,+10,3,558,,54,2
50,Peru,580,,9,,14,557,14,18,0.3
51,Estonia,575,+37,1,,11,563,7,433,0.8
52,Qatar,562,+13,,,43,519,6,195,
53,Serbia,528,+71,8,+1,42,478,25,60,0.9
54,Hong Kong,518,+64,4,,111,403,5,69,0.5
55,Egypt,495,,24,,102,369,,5,0.2
56,Colombia,491,,6,,8,477,,10,0.1
57,Bahrain,466,+8,4,,227,235,1,274,2
58,Iraq,458,+76,40,+4,122,296,,11,1.0
59,Algeria,409,+42,26,+1,29,354,,9,0.6
60,UAE,405,+72,2,,52,351,2,41,0.2
61,Lebanon,391,+23,8,+2,27,356,3,57,1
62,New Zealand,368,,,,37,331,1,76,
63,Lithuania,358,+59,5,+1,1,352,2,132,2
64,Morocco,333,+58,21,+10,11,301,1,9,0.6
