,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,"81,394",+54,"3,295",+3,"74,971","3,128",886,57,2
1,USA,"104,256",+130,"1,704",+8,"2,525","100,027","2,494",315,5
2,Italy,"86,498",,"9,134",,"10,950","66,414","3,732","1,431",151
3,Spain,"65,719",,"5,138",,"9,357","51,224","4,165","1,406",110
4,Germany,"50,871",,351,,"6,658","43,862","1,581",607,4
5,France,"32,964",,"1,995",,"5,700","25,269","3,787",505,31
6,Iran,"32,332",,"2,378",,"11,133","18,821","2,893",385,28
7,UK,"14,543",,759,,135,"13,649",163,214,11
8,Switzerland,"12,928",,231,,"1,530","11,167",203,"1,494",27
9,S. Korea,"9,478",+146,144,+5,"4,811","4,523",59,185,3
10,Netherlands,"8,603",,546,,3,"8,054",761,502,32
11,Austria,"7,697",,58,,225,"7,414",128,855,6
12,Belgium,"7,284",,289,,858,"6,137",690,628,25
13,Turkey,"5,698",,92,,42,"5,564",241,68,1
14,Canada,"4,757",,55,,354,"4,348",120,126,1
15,Portugal,"4,268",,76,,43,"4,149",71,419,7
16,Norway,"3,771",,19,,7,"3,745",70,696,4
17,Australia,"3,573",+195,14,+1,170,"3,389",23,140,0.5
18,Brazil,"3,477",+60,93,+1,6,"3,378",296,16,0.4
19,Sweden,"3,069",,105,,16,"2,948",214,304,10
20,Israel,"3,035",,12,,79,"2,944",49,351,1
21,Czechia,"2,279",,9,,11,"2,259",34,213,0.8
22,Malaysia,"2,161",,26,,259,"1,876",54,67,0.8
23,Ireland,"2,121",,22,,5,"2,094",59,430,4
24,Denmark,"2,046",,52,,1,"1,993",109,353,9
25,Ecuador,"1,627",,41,,3,"1,583",58,92,2
26,Chile,"1,610",,5,,43,"1,562",7,84,0.3
27,Luxembourg,"1,605",,15,,40,"1,550",25,"2,564",24
28,Japan,"1,499",,49,,372,"1,078",56,12,0.4
29,Poland,"1,389",,16,,7,"1,366",3,37,0.4
30,Pakistan,"1,373",,11,,23,"1,339",7,6,0.05
